id,age,birthdate,country,gender,height,image,medals,name,sport,weight,country_id,sport_id,gold,silver,bronze,medal_winner
aiko_uemura,34,1979-12-09 00:00:00,Japan,Female,1.56,http://gtcdn.sochi2014.com/athlete/a/97/2000597-168X210.jpg,0,Aiko Uemura,Freestyle Skiing,51.0,japan,freestyle_skiing,0,0,0,False
aimee_fuller,22,1991-07-21 00:00:00,Great Britain,Female,1.63,http://gtcdn.sochi2014.com/athlete/a/49/2036149-168X210.jpg,0,Aimee Fuller,Snowboard,61.0,great_britain,snowboard,0,0,0,False
aimee_watson,26,1987-07-28 00:00:00,Australia,Female,1.69,http://gtcdn.sochi2014.com/athlete/a/65/2024465-168X210.jpg,0,Aimee Watson,Cross-Country,60.0,australia,cross-country,0,0,0,False
aina_takeuchi,22,1991-08-16 00:00:00,Japan,Female,1.6600000000000001,http://gtcdn.sochi2014.com/athlete/a/58/2001458-168X210.jpg,0,Aina Takeuchi,Ice Hockey,63.0,japan,ice_hockey,0,0,0,False
aino-kaisa_saarinen,35,1979-02-01 00:00:00,Finland,Female,1.6600000000000001,http://gtcdn.sochi2014.com/athlete/a/77/2030777-168X210.jpg,2,Aino-kaisa Saarinen,Cross-Country,58.0,finland,cross-country,0,2,0,True
aita_gasparin,19,1994-02-09 00:00:00,Switzerland,Female,1.63,http://gtcdn.sochi2014.com/athlete/a/42/2040442-168X210.jpg,0,Aita Gasparin,Biathlon,53.0,switzerland,biathlon,0,0,0,False
aivar_rehemaa,31,1982-09-28 00:00:00,Estonia,Male,1.94,http://gtcdn.sochi2014.com/athlete/a/95/2012195-168X210.jpg,0,Aivar Rehemaa,Cross-Country,78.0,estonia,cross-country,0,0,0,False
aja_evans,25,1988-05-12 00:00:00,United States,Female,,http://gtcdn.sochi2014.com/athlete/a/46/2020746-168X210.jpg,1,Aja Evans,Bobsleigh,,united_states,bobsleigh,0,0,1,True
akane_konishi,18,1995-08-14 00:00:00,Japan,Female,1.6400000000000001,http://gtcdn.sochi2014.com/athlete/a/50/2001450-168X210.jpg,0,Akane Konishi,Ice Hockey,62.0,japan,ice_hockey,0,0,0,False
akiko_suzuki,28,1985-03-28 00:00:00,Japan,Female,1.6,http://gtcdn.sochi2014.com/athlete/a/13/2000013-168X210.jpg,0,Akiko Suzuki,Figure Skating,,japan,figure_skating,0,0,0,False
akira_lenting,23,1990-08-11 00:00:00,Japan,Male,1.82,http://gtcdn.sochi2014.com/athlete/a/31/2000931-168X210.jpg,0,Akira Lenting,Cross-Country,77.0,japan,cross-country,0,0,0,False
akira_sasaki,32,1981-09-26 00:00:00,Japan,Male,1.82,http://gtcdn.sochi2014.com/athlete/a/57/2000357-168X210.jpg,0,Akira Sasaki,Alpine Skiing,88.0,japan,alpine_skiing,0,0,0,False
akito_watabe,25,1988-05-26 00:00:00,Japan,Male,1.73,http://gtcdn.sochi2014.com/athlete/a/51/2000551-168X210.jpg,1,Akito Watabe,Nordic Combined,61.0,japan,nordic_combined,0,1,0,True
aksel_lund_svindal,31,1982-12-26 00:00:00,Norway,Male,1.8900000000000001,http://gtcdn.sochi2014.com/athlete/a/63/2022663-168X210.jpg,0,Aksel Lund Svindal,Alpine Skiing,97.0,norway,alpine_skiing,0,0,0,False
alang_kim,18,1995-08-22 00:00:00,Korea,Female,1.6800000000000002,http://gtcdn.sochi2014.com/athlete/a/34/2031734-168X210.jpg,1,Alang Kim,Short Track,53.0,korea,short_track,1,0,0,True
albert_demchenko,42,1971-11-27 00:00:00,Russian Fed.,Male,1.85,http://gtcdn.sochi2014.com/athlete/a/10/2000610-168X210.jpg,2,Albert Demchenko,Luge,95.0,russian_fed,luge,0,2,0,True
aleksandar_bundalo,24,1989-09-28 00:00:00,Serbia,Male,2.02,http://gtcdn.sochi2014.com/content/4.4/i/athlete/athlete-m-168x210.png,0,Aleksandar Bundalo,Bobsleigh,106.0,serbia,bobsleigh,0,0,0,False
aleksander_aamodt_kilde,21,1992-09-21 00:00:00,Norway,Male,,http://gtcdn.sochi2014.com/athlete/a/47/2022647-168X210.jpg,0,Aleksander Aamodt Kilde,Alpine Skiing,,norway,alpine_skiing,0,0,0,False
aleksander_aurdal,25,1988-03-25 00:00:00,Norway,Male,1.78,http://gtcdn.sochi2014.com/athlete/a/21/2018921-168X210.jpg,0,Aleksander Aurdal,Freestyle Skiing,84.0,norway,freestyle_skiing,0,0,0,False
aleksander_barkov,18,1995-09-02 00:00:00,Finland,Male,1.9,http://gtcdn.sochi2014.com/athlete/a/15/2032515-168X210.jpg,0,Aleksander Barkov,Ice Hockey,91.0,finland,ice_hockey,0,0,0,False
aleksander_peretyagin,22,1992-02-02 00:00:00,Russian Fed.,Male,1.8,http://gtcdn.sochi2014.com/athlete/a/34/2000634-168X210.jpg,0,Aleksander Peretyagin,Luge,75.0,russian_fed,luge,0,0,0,False
aleksandr_rumyantsev,27,1986-12-05 00:00:00,Russian Fed.,Male,1.85,http://gtcdn.sochi2014.com/athlete/a/99/2001699-168X210.jpg,0,Aleksandr Rumyantsev,Speed Skating,80.0,russian_fed,speed_skating,0,0,0,False
aleksandr_zhigin,27,1986-09-12 00:00:00,Kazakhstan,Male,1.8,http://gtcdn.sochi2014.com/athlete/a/70/2009870-168X210.jpg,0,Aleksandr Zhigin,Speed Skating,74.0,kazakhstan,speed_skating,0,0,0,False
aleksandra_klus,27,1986-07-31 00:00:00,Poland,Female,1.65,http://gtcdn.sochi2014.com/athlete/a/35/2001535-168X210.jpg,0,Aleksandra Klus,Alpine Skiing,65.0,poland,alpine_skiing,0,0,0,False
aleksandra_krol,23,1990-11-20 00:00:00,Poland,Female,1.72,http://gtcdn.sochi2014.com/athlete/a/64/2000464-168X210.jpg,0,Aleksandra Krol,Snowboard,53.0,poland,snowboard,0,0,0,False
aleksei_pushkarev,27,1986-11-04 00:00:00,Russian Fed.,Male,1.82,http://gtcdn.sochi2014.com/athlete/a/24/2002124-168X210.jpg,0,Aleksei Pushkarev,Bobsleigh,90.0,russian_fed,bobsleigh,0,0,0,False
aleksey_pavlenko,18,1995-03-06 00:00:00,Russian Fed.,Male,1.71,http://gtcdn.sochi2014.com/athlete/a/75/2003375-168X210.jpg,0,Aleksey Pavlenko,Freestyle Skiing,63.0,russian_fed,freestyle_skiing,0,0,0,False
aleksey_suvorov,22,1991-09-17 00:00:00,Russian Fed.,Male,1.8,http://gtcdn.sochi2014.com/content/4.4/i/athlete/athlete-m-168x210.png,0,Aleksey Suvorov,Speed Skating,80.0,russian_fed,speed_skating,0,0,0,False
aleksey_yesin,26,1987-12-03 00:00:00,Russian Fed.,Male,1.81,http://gtcdn.sochi2014.com/athlete/a/89/2001689-168X210.jpg,0,Aleksey Yesin,Speed Skating,80.0,russian_fed,speed_skating,0,0,0,False
aleksi_patja,18,1995-10-30 00:00:00,Finland,Male,1.76,http://gtcdn.sochi2014.com/athlete/a/86/2035186-168X210.jpg,0,Aleksi Patja,Freestyle Skiing,70.0,finland,freestyle_skiing,0,0,0,False
alena_prochazkova,29,1984-08-09 00:00:00,Slovakia,Female,1.78,http://gtcdn.sochi2014.com/athlete/a/72/2014072-168X210.jpg,0,Alena Prochazkova,Cross-Country,58.0,slovakia,cross-country,0,0,0,False
alena_sannikova,33,1980-06-12 00:00:00,Belarus,Female,1.71,http://gtcdn.sochi2014.com/athlete/a/16/2025116-168X210.jpg,0,Alena Sannikova,Cross-Country,57.0,belarus,cross-country,0,0,0,False
alena_zavarzina,24,1989-05-27 00:00:00,Russian Fed.,Female,1.75,http://gtcdn.sochi2014.com/athlete/a/44/2000644-168X210.jpg,1,Alena Zavarzina,Snowboard,60.0,russian_fed,snowboard,0,0,1,True
alenka_cebasek,24,1989-04-24 00:00:00,Slovenia,Female,1.6600000000000001,http://gtcdn.sochi2014.com/content/4.4/i/athlete/athlete-w-168x210.png,0,Alenka Cebasek,Cross-Country,61.0,slovenia,cross-country,0,0,0,False
ales_hemsky,30,1983-08-13 00:00:00,Czech Republic,Male,1.83,http://gtcdn.sochi2014.com/athlete/a/75/2034775-168X210.jpg,0,Ales Hemsky,Ice Hockey,84.0,czech_republic,ice_hockey,0,0,0,False
ales_kranjc,32,1981-07-29 00:00:00,Slovenia,Male,1.83,http://gtcdn.sochi2014.com/athlete/a/05/2041805-168X210.jpg,0,Ales Kranjc,Ice Hockey,89.0,slovenia,ice_hockey,0,0,0,False
ales_music,31,1982-06-28 00:00:00,Slovenia,Male,1.76,http://gtcdn.sochi2014.com/athlete/a/49/2041849-168X210.jpg,0,Ales Music,Ice Hockey,83.0,slovenia,ice_hockey,0,0,0,False
ales_razym,27,1986-08-19 00:00:00,Czech Republic,Male,1.82,http://gtcdn.sochi2014.com/athlete/a/43/2034343-168X210.jpg,0,Ales Razym,Cross-Country,76.0,czech_republic,cross-country,0,0,0,False
alessandro_haemmerle,20,1993-07-30 00:00:00,Austria,Male,1.9,http://gtcdn.sochi2014.com/athlete/a/73/2023773-168X210.jpg,0,Alessandro Haemmerle,Snowboard,82.0,austria,snowboard,0,0,0,False
alessandro_pittin,23,1990-02-11 00:00:00,Italy,Male,1.6600000000000001,http://gtcdn.sochi2014.com/athlete/a/95/2014895-168X210.jpg,0,Alessandro Pittin,Nordic Combined,62.0,italy,nordic_combined,0,0,0,False
alessia_afi_dipol,18,1995-08-01 00:00:00,Togo,Female,1.6800000000000002,http://gtcdn.sochi2014.com/content/4.4/i/athlete/athlete-w-168x210.png,0,Alessia Afi Dipol,Alpine Skiing,58.0,togo,alpine_skiing,0,0,0,False
alex_baumann,28,1985-03-09 00:00:00,Switzerland,Male,1.8,http://gtcdn.sochi2014.com/athlete/a/05/2040305-168X210.jpg,1,Alex Baumann,Bobsleigh,100.0,switzerland,bobsleigh,0,1,0,True
alex_beaulieu-marchand,19,1994-03-03 00:00:00,Canada,Male,1.83,http://gtcdn.sochi2014.com/athlete/a/14/2015014-168X210.jpg,0,Alex Beaulieu-marchand,Freestyle Skiing,68.0,canada,freestyle_skiing,0,0,0,False
alex_beniaidze,22,1991-02-08 00:00:00,Georgia,Male,1.8399999999999999,http://gtcdn.sochi2014.com/athlete/a/21/2041621-168X210.jpg,0,Alex Beniaidze,Alpine Skiing,80.0,georgia,alpine_skiing,0,0,0,False
alex_bilodeau,26,1987-09-08 00:00:00,Canada,Male,1.73,http://gtcdn.sochi2014.com/athlete/a/16/2015016-168X210.jpg,1,Alex Bilodeau,Freestyle Skiing,76.0,canada,freestyle_skiing,1,0,0,True
alex_carpenter,19,1994-04-13 00:00:00,United States,Female,1.69,http://gtcdn.sochi2014.com/athlete/a/80/2021180-168X210.jpg,0,Alex Carpenter,Ice Hockey,68.0,united_states,ice_hockey,0,0,0,False
alex_deibold,27,1986-05-08 00:00:00,United States,Male,1.85,http://gtcdn.sochi2014.com/athlete/a/33/2030033-168X210.jpg,1,Alex Deibold,Snowboard,86.0,united_states,snowboard,0,0,1,True
alex_fiva,28,1986-01-29 00:00:00,Switzerland,Male,1.88,http://gtcdn.sochi2014.com/athlete/a/18/2040418-168X210.jpg,0,Alex Fiva,Freestyle Skiing,93.0,switzerland,freestyle_skiing,0,0,0,False
alex_gough,26,1987-05-12 00:00:00,Canada,Female,1.71,http://gtcdn.sochi2014.com/athlete/a/13/2007513-168X210.jpg,0,Alex Gough,Luge,70.0,canada,luge,0,0,0,False
alex_harvey,25,1988-09-07 00:00:00,Canada,Male,1.8399999999999999,http://gtcdn.sochi2014.com/athlete/a/86/2012686-168X210.jpg,0,Alex Harvey,Cross-Country,75.0,canada,cross-country,0,0,0,False
alex_pietrangelo,24,1990-01-18 00:00:00,Canada,Male,1.9300000000000002,http://gtcdn.sochi2014.com/athlete/a/06/2018506-168X210.jpg,0,Alex Pietrangelo,Ice Hockey,93.0,canada,ice_hockey,0,0,0,False
alex_puente_tasias,19,1994-03-08 00:00:00,Spain,Male,1.82,http://gtcdn.sochi2014.com/athlete/a/13/2014213-168X210.jpg,0,Alex Puente Tasias,Alpine Skiing,79.0,spain,alpine_skiing,0,0,0,False
alex_pullin,26,1987-09-20 00:00:00,Australia,Male,1.85,http://gtcdn.sochi2014.com/athlete/a/99/2032699-168X210.jpg,0,Alex Pullin,Snowboard,87.0,australia,snowboard,0,0,0,False
alex_shibutani,22,1991-04-25 00:00:00,United States,Male,1.8,http://gtcdn.sochi2014.com/athlete/a/11/2030011-168X210.jpg,0,Alex Shibutani,Figure Skating,,united_states,figure_skating,0,0,0,False
alexander_bergmann,26,1987-05-16 00:00:00,Germany,Male,1.76,http://gtcdn.sochi2014.com/athlete/a/96/2029896-168X210.jpg,0,Alexander Bergmann,Snowboard,70.0,germany,snowboard,0,0,0,False
alexander_bessmertnykh,27,1986-09-15 00:00:00,Russian Fed.,Male,1.82,http://gtcdn.sochi2014.com/athlete/a/03/2000003-168X210.jpg,1,Alexander Bessmertnykh,Cross-Country,78.0,russian_fed,cross-country,0,1,0,True
alexander_bonsaksen,27,1987-01-24 00:00:00,Norway,Male,1.8,http://gtcdn.sochi2014.com/athlete/a/26/2020826-168X210.jpg,0,Alexander Bonsaksen,Ice Hockey,83.0,norway,ice_hockey,0,0,0,False
alexander_denisyev,22,1991-07-29 00:00:00,Russian Fed.,Male,1.8900000000000001,http://gtcdn.sochi2014.com/athlete/a/12/2000612-168X210.jpg,1,Alexander Denisyev,Luge,100.0,russian_fed,luge,0,1,0,True
alexander_edler,27,1986-04-21 00:00:00,Sweden,Male,1.9300000000000002,http://gtcdn.sochi2014.com/athlete/a/26/2014326-168X210.jpg,0,Alexander Edler,Ice Hockey,100.0,sweden,ice_hockey,0,0,0,False
alexander_ferlazzo,18,1995-04-03 00:00:00,Australia,Male,1.85,http://gtcdn.sochi2014.com/athlete/a/63/2024563-168X210.jpg,0,Alexander Ferlazzo,Luge,75.0,australia,luge,0,0,0,False
alexander_gazsi,29,1984-10-06 00:00:00,Germany,Male,1.82,http://gtcdn.sochi2014.com/athlete/a/74/2031774-168X210.jpg,0,Alexander Gazsi,Figure Skating,,germany,figure_skating,0,0,0,False
alexander_glebov,30,1983-07-15 00:00:00,Russian Fed.,Male,1.8,http://gtcdn.sochi2014.com/athlete/a/03/2008003-168X210.jpg,0,Alexander Glebov,Alpine Skiing,84.0,russian_fed,alpine_skiing,0,0,0,False
alexander_kasjanov,30,1983-09-30 00:00:00,Russian Fed.,Male,1.88,http://gtcdn.sochi2014.com/athlete/a/30/2002130-168X210.jpg,0,Alexander Kasjanov,Bobsleigh,100.0,russian_fed,bobsleigh,0,0,0,False
alexander_khoroshilov,29,1984-02-16 00:00:00,Russian Fed.,Male,1.8,http://gtcdn.sochi2014.com/athlete/a/95/2007995-168X210.jpg,0,Alexander Khoroshilov,Alpine Skiing,82.0,russian_fed,alpine_skiing,0,0,0,False
alexander_kozyrev,27,1986-08-26 00:00:00,Russian Fed.,Male,1.73,http://gtcdn.sochi2014.com/athlete/a/41/2007241-168X210.jpg,0,Alexander Kozyrev,Curling,,russian_fed,curling,0,0,0,False
alexander_kroeckel,23,1990-03-12 00:00:00,Germany,Male,1.88,http://gtcdn.sochi2014.com/athlete/a/08/2029508-168X210.jpg,0,Alexander Kroeckel,Skeleton,82.0,germany,skeleton,0,0,0,False
alexander_lasutkin,30,1983-06-26 00:00:00,Belarus,Male,1.76,http://gtcdn.sochi2014.com/athlete/a/58/2025058-168X210.jpg,0,Alexander Lasutkin,Cross-Country,74.0,belarus,cross-country,0,0,0,False
alexander_legkov,30,1983-05-07 00:00:00,Russian Fed.,Male,1.78,http://gtcdn.sochi2014.com/athlete/a/40/2000840-168X210.jpg,1,Alexander Legkov,Cross-Country,73.0,russian_fed,cross-country,0,1,0,True
alexander_loginov,22,1992-01-31 00:00:00,Russian Fed.,Male,1.77,http://gtcdn.sochi2014.com/athlete/a/66/2002266-168X210.jpg,0,Alexander Loginov,Biathlon,71.0,russian_fed,biathlon,0,0,0,False
alexander_majorov,22,1991-07-19 00:00:00,Sweden,Male,1.67,http://gtcdn.sochi2014.com/athlete/a/75/2004375-168X210.jpg,0,Alexander Majorov,Figure Skating,,sweden,figure_skating,0,0,0,False
alexander_ovechkin,28,1985-09-17 00:00:00,Russian Fed.,Male,1.88,http://gtcdn.sochi2014.com/athlete/a/66/2001266-168X210.jpg,0,Alexander Ovechkin,Ice Hockey,106.0,russian_fed,ice_hockey,0,0,0,False
alexander_popov,33,1980-08-31 00:00:00,Russian Fed.,Male,1.78,http://gtcdn.sochi2014.com/athlete/a/74/2001274-168X210.jpg,0,Alexander Popov,Ice Hockey,77.0,russian_fed,ice_hockey,0,0,0,False
alexander_radulov,27,1986-07-05 00:00:00,Russian Fed.,Male,1.8599999999999999,http://gtcdn.sochi2014.com/athlete/a/75/2001275-168X210.jpg,0,Alexander Radulov,Ice Hockey,91.0,russian_fed,ice_hockey,0,0,0,False
alexander_roediger,28,1985-05-14 00:00:00,Germany,Male,1.83,http://gtcdn.sochi2014.com/athlete/a/13/2029313-168X210.jpg,0,Alexander Roediger,Bobsleigh,95.0,germany,bobsleigh,0,0,0,False
alexander_salak,27,1987-01-05 00:00:00,Czech Republic,Male,1.8599999999999999,http://gtcdn.sochi2014.com/athlete/a/77/2034877-168X210.jpg,0,Alexander Salak,Ice Hockey,86.0,czech_republic,ice_hockey,0,0,0,False
alexander_steen,29,1984-03-01 00:00:00,Sweden,Male,1.8399999999999999,http://gtcdn.sochi2014.com/athlete/a/40/2007840-168X210.jpg,0,Alexander Steen,Ice Hockey,93.0,sweden,ice_hockey,0,0,0,False
alexander_svitov,31,1982-11-03 00:00:00,Russian Fed.,Male,1.92,http://gtcdn.sochi2014.com/athlete/a/78/2001278-168X210.jpg,0,Alexander Svitov,Ice Hockey,106.0,russian_fed,ice_hockey,0,0,0,False
alexander_syomin,29,1984-03-03 00:00:00,Russian Fed.,Male,1.8900000000000001,http://gtcdn.sochi2014.com/athlete/a/79/2001279-168X210.jpg,0,Alexander Syomin,Ice Hockey,95.0,russian_fed,ice_hockey,0,0,0,False
alexander_tretiakov,28,1985-04-19 00:00:00,Russian Fed.,Male,1.8399999999999999,http://gtcdn.sochi2014.com/athlete/a/62/2001862-168X210.jpg,1,Alexander Tretiakov,Skeleton,77.0,russian_fed,skeleton,1,0,0,True
alexander_yeryomenko,33,1980-04-10 00:00:00,Russian Fed.,Male,1.79,http://gtcdn.sochi2014.com/athlete/a/54/2015554-168X210.jpg,0,Alexander Yeryomenko,Ice Hockey,75.0,russian_fed,ice_hockey,0,0,0,False
alexander_zubkov,39,1974-08-10 00:00:00,Russian Fed.,Male,1.87,http://gtcdn.sochi2014.com/athlete/a/05/2002005-168X210.jpg,1,Alexander Zubkov,Bobsleigh,105.0,russian_fed,bobsleigh,1,0,0,True
alexandr_smyshlyaev,26,1987-03-16 00:00:00,Russian Fed.,Male,1.7000000000000002,http://gtcdn.sochi2014.com/athlete/a/45/2002745-168X210.jpg,1,Alexandr Smyshlyaev,Freestyle Skiing,68.0,russian_fed,freestyle_skiing,0,0,1,True
alexandr_trifonov,27,1986-03-13 00:00:00,Kazakhstan,Male,1.88,http://gtcdn.sochi2014.com/athlete/a/20/2013520-168X210.jpg,0,Alexandr Trifonov,Biathlon,73.0,kazakhstan,biathlon,0,0,0,False
alexandra_camenscic,25,1988-08-28 00:00:00,Rep. of Moldova,Female,1.58,http://gtcdn.sochi2014.com/athlete/a/90/2048090-168X210.jpg,0,Alexandra Camenscic,Cross-Country,55.0,rep_of_moldova,cross-country,0,0,0,False
alexandra_coletti,30,1983-08-08 00:00:00,Monaco,Female,1.6400000000000001,http://gtcdn.sochi2014.com/athlete/a/22/2033922-168X210.jpg,0,Alexandra Coletti,Alpine Skiing,60.0,monaco,alpine_skiing,0,0,0,False
alexandra_duckworth,26,1987-11-11 00:00:00,Canada,Female,1.58,http://gtcdn.sochi2014.com/athlete/a/78/2013778-168X210.jpg,0,Alexandra Duckworth,Snowboard,50.0,canada,snowboard,0,0,0,False
alexandra_jekova,26,1987-10-05 00:00:00,Bulgaria,Female,1.67,http://gtcdn.sochi2014.com/athlete/a/66/2000766-168X210.jpg,0,Alexandra Jekova,Snowboard,63.0,bulgaria,snowboard,0,0,0,False
alexandra_kapustina,29,1984-04-07 00:00:00,Russian Fed.,Female,1.6600000000000001,http://gtcdn.sochi2014.com/athlete/a/92/2001492-168X210.jpg,0,Alexandra Kapustina,Ice Hockey,74.0,russian_fed,ice_hockey,0,0,0,False
alexandra_orlova,16,1997-08-28 00:00:00,Russian Fed.,Female,1.62,http://gtcdn.sochi2014.com/athlete/a/77/2004277-168X210.jpg,0,Alexandra Orlova,Freestyle Skiing,55.0,russian_fed,freestyle_skiing,0,0,0,False
alexandra_paul,22,1991-09-16 00:00:00,Canada,Female,1.6099999999999999,http://gtcdn.sochi2014.com/athlete/a/93/2016393-168X210.jpg,0,Alexandra Paul,Figure Skating,,canada,figure_skating,0,0,0,False
alexandra_saitova,21,1992-08-20 00:00:00,Russian Fed.,Female,1.67,http://gtcdn.sochi2014.com/athlete/a/20/2005220-168X210.jpg,0,Alexandra Saitova,Curling,,russian_fed,curling,0,0,0,False
alexandra_taylor,19,1994-05-04 00:00:00,Cyprus,Female,1.74,http://gtcdn.sochi2014.com/athlete/a/98/2005198-168X210.jpg,0,Alexandra Taylor,Alpine Skiing,64.0,cyprus,alpine_skiing,0,0,0,False
alexandra_vafina,23,1990-07-28 00:00:00,Russian Fed.,Female,1.6800000000000002,http://gtcdn.sochi2014.com/athlete/a/37/2001437-168X210.jpg,0,Alexandra Vafina,Ice Hockey,57.0,russian_fed,ice_hockey,0,0,0,False
alexandre_mohbat,18,1995-05-16 00:00:00,Lebanon,Male,1.8399999999999999,http://gtcdn.sochi2014.com/content/4.4/i/athlete/athlete-m-168x210.png,0,Alexandre Mohbat,Alpine Skiing,76.0,lebanon,alpine_skiing,0,0,0,False
alexandros_kefalas,29,1984-12-21 00:00:00,Greece,Male,1.79,http://gtcdn.sochi2014.com/athlete/a/99/2018199-168X210.jpg,0,Alexandros Kefalas,Skeleton,80.0,greece,skeleton,0,0,0,False
alexandru_barbu,26,1987-03-08 00:00:00,Romania,Male,1.77,http://gtcdn.sochi2014.com/athlete/a/00/2005200-168X210.jpg,0,Alexandru Barbu,Alpine Skiing,70.0,romania,alpine_skiing,0,0,0,False
alexandru_teodorescu,21,1992-05-27 00:00:00,Romania,Male,1.69,http://gtcdn.sochi2014.com/athlete/a/02/2006502-168X210.jpg,0,Alexandru Teodorescu,Luge,70.0,romania,luge,0,0,0,False
alexei_almoukov,23,1990-03-22 00:00:00,Australia,Male,1.73,http://gtcdn.sochi2014.com/athlete/a/33/2024433-168X210.jpg,0,Alexei Almoukov,Biathlon,73.0,australia,biathlon,0,0,0,False
